Sinuosity_Index,Dist_to_Intersection_m,No_of_Lanes,Speed_Limit_kmh,Has_Zebra_Crossing,Has_Streetlight_Infrastructure,Elevation_Gradient_Pct,Road_Type_secondary,Road_Type_tertiary,Road_Type_trunk,Baseline_Traffic_Volume_Moderate,Topography_Mild Grade,Topography_Steep,Is_Hotspot_Actual,Predicted_Hotspot,Data_Type
1.0,1112.15,2,60,0,1,0.4,False,False,True,False,False,False,0,0,Real
1.0028,7240.51,2,60,1,1,0.4,False,False,True,False,False,False,0,0,Real
1.0002,1582.69,2,50,0,0,0.55,True,False,False,True,False,False,0,0,Real
1.0134,253.9,2,50,0,1,0.0,True,False,False,True,False,False,0,0,Real
1.0005,71.07,2,50,1,1,0.84,True,False,False,True,False,False,1,1,Real
1.0001,100.05,2,70,0,1,0.35,False,False,True,False,False,False,0,0,Real
1.0043,53.2,2,50,0,0,1.27,True,False,False,True,False,False,0,0,Real
1.0022,137.08,2,70,1,0,0.45,False,False,False,False,False,False,0,0,Real
1.0301,237.71,2,60,0,0,0.05,True,False,False,True,False,False,0,0,Real
1.0012,350.24,2,50,0,1,0.2,True,False,False,True,False,False,0,0,Real
1.0037,709.82,2,70,0,1,2.98,False,False,True,False,False,False,0,0,Real
1.0112,1359.88,2,50,0,0,0.5,False,True,False,True,False,False,1,1,Real
1.0129,3953.41,2,40,0,1,0.55,False,True,False,True,False,False,0,0,Real
1.0,7833.76,2,70,0,1,0.2,False,False,True,False,False,False,0,0,Real
1.0613,6151.94,2,70,1,1,0.7,False,False,True,False,False,False,0,0,Real
1.0084,4246.21,2,40,0,0,0.65,False,True,False,True,False,False,0,0,Real
1.0209,120.41,2,60,0,0,0.25,True,False,False,True,False,False,0,0,Real
1.0,225.04,2,60,0,1,0.2,False,False,False,False,False,False,0,0,Real
1.0,4293.3,2,60,0,1,0.15,False,False,True,False,False,False,0,0,Real
1.0,244.78,2,50,0,0,3.12,True,False,False,True,True,False,0,0,Real
1.0005,1629.17,2,50,0,1,0.4,True,False,False,True,False,False,0,0,Real
1.0023,815.23,2,50,0,1,0.5,True,False,False,True,False,False,0,0,Real
1.0,44.09,2,60,0,1,0.34,False,False,True,False,False,False,0,0,Real
1.0035,317.39,2,60,0,1,0.7,False,False,False,False,False,False,0,1,Real
1.0373,1222.49,2,70,1,1,0.4,False,False,False,False,False,False,0,0,Real
1.0021,461.11,2,60,1,1,0.4,False,False,True,False,False,False,0,1,Real
1.0,604.56,2,50,0,0,0.65,False,True,False,True,False,False,0,0,Real
1.0383,1363.27,2,70,0,0,0.15,False,False,False,False,False,False,0,0,Real
1.0,183.38,2,50,0,1,0.57,True,False,False,True,False,False,0,0,Real
1.0003,2242.8,2,60,0,1,0.05,False,False,True,False,False,False,0,0,Real
1.0,100.03,2,60,0,1,0.05,False,False,True,False,False,False,0,0,Real
1.0,5485.23,2,60,0,1,0.45,False,False,True,False,False,False,0,0,Real
1.0931,88.63,2,60,0,0,0.0,True,False,False,True,False,False,0,0,Real
1.0,1360.0,2,40,0,0,0.55,False,True,False,True,False,False,0,0,Real
1.0039,133.68,2,60,1,0,0.55,True,False,False,True,False,False,0,1,Real
1.0006,412.36,2,60,0,1,0.25,False,False,False,False,False,False,0,1,Real
